x,y,dt
-1.2225697,7.410825,41.63
0.27767685,10.859722,42.21
-2.7639294,11.5962105,42.94
-0.33337143,11.620476,41.75
-5.199629,10.62323,42.47
-2.3125284,6.8177567,41.77
-3.192324,15.133264,41.74
-2.7922091,11.926416,41.77
-12.424423,11.988211,41.50
-14.355407,15.33086,41.74
-11.797382,20.33041,31.74
-6.183436,13.515128,68.46
-15.84026,12.364811,66.40
-5.2938924,10.817084,67.06
-4.2925143,12.776561,66.78
-6.4147935,9.812775,67.91
-7.0454826,9.254674,86.60
186.2572,48.4027,30.52
-12.24705,6.3571362,66.10
-12.413963,14.746827,123.25
0.12314256,14.582102,36.60
-6.587831,9.405697,23.19
-2.0459437,16.865128,18.45
-22.174742,18.01037,63.07
-17.831615,15.822486,65.45
-11.125586,16.704372,105.74
-21.460735,3.9168508,25.70
-31.358473,18.677406,149.06
3.2234883,9.648748,151.22
-10.423417,6.6981306,73.10
-30.94488,13.942983,158.46
4.4681225,10.992893,34.12
-7.7245054,9.210554,18.60
1.3452303,6.8395977,18.22
-4.329977,5.0411425,24.17
-21.282944,10.389881,48.52
10.785026,14.174074,47.55
-6.202885,8.917214,45.29
10.033355,12.69606,10.46
-6.775893,10.16622,83.81
-0.84596485,10.094148,63.92
-6.8894024,5.923903,16.73
-2.7631857,15.825771,19.13
6.359773,5.9235134,35.51
32.041763,27.20671,16.23
-16.263847,13.99133,78.73
6.1906204,12.287525,21.66
-10.588272,5.279235,37.23
-13.189089,20.317131,52.82
44.6079,26.877422,31.94
-1.5496746,6.7465253,46.36
-6.497932,7.114513,56.76
-8.707428,-1.4704704,57.41
-12.392332,10.799999,72.98
0.7628912,10.3898945,74.73
-7.3008556,11.923472,9.74
-50.227715,46.29043,7.04
-18.798534,1.2357421,54.16
-6.7771034,10.193928,61.49
-17.33951,4.5071316,61.47
-19.231812,9.476739,61.35
-9.294775,4.9772844,12.90
-11.143629,6.2934914,57.38
-6.9200006,11.307989,67.81
-14.001452,12.518202,25.59
-4.367972,7.843711,19.57
0.052040994,15.873295,20.13
12.619855,2.6158886,19.40
-1.0210693,5.112644,25.18
-9.402839,9.55464,31.93
-28.456827,18.21828,56.15
-11.484343,7.1168556,66.01
-8.965494,15.754341,17.19
-17.342741,6.248178,78.18
-44.38409,21.379429,75.00
-12.250551,10.736154,75.45
-10.657586,13.313726,24.33
-8.881394,16.681479,27.56
-0.14426708,5.4787383,44.17
2.0448372,9.315193,49.42
0.6755125,7.5186777,29.89
95.752205,31.38338,60.78
-8.860812,7.6483703,32.67
3.3458323,13.583482,19.04
-8.488648,11.783345,24.70
-6.177313,1.6737344,37.25
-3.9620142,9.49402,77.83
-22.147715,16.741085,75.36
73.391624,20.218933,25.53
-12.829858,15.395073,25.13
-2.8525758,7.8614054,32.90
-19.67591,15.56185,31.33
-13.288309,6.5229397,51.78
-5.37443,5.958374,51.65
-25.218254,13.875379,10.40
34.602913,5.3476534,10.81
